#yymmdd    hhmmss   name          ra        dec       fwhm a/b  theta  sky   nstar ccdtemp tempam  encra     
2014-03-23 18:53:03 20140323_0001.fits(obstype=survey 185.732055 67.976313 5.50 1.16 -13.79 4270.18 23 281.091 5.300 -80.787828
2014-03-23 18:53:07 20140323_0002.fits(obstype=survey 185.732055 67.976313 5.55 1.07 -84.17 4150.93 24 281.091 5.300 -80.787828
2014-03-23 18:53:12 20140323_0003.fits(obstype=survey 185.732055 67.976313 5.01 1.24 -84.36 4076.22 28 281.091 5.300 -80.787828
2014-03-23 18:53:16 20140323_0004.fits(obstype=survey 185.732055 67.976313 4.73 1.17 -84.63 3935.69 29 281.091 5.300 -80.787828
2014-03-23 18:53:20 20140323_0005.fits(obstype=survey 185.732055 67.976313 4.39 1.11 25.50 3739.76 27 281.091 5.300 -80.787828
2014-03-23 18:53:25 20140323_0006.fits(obstype=survey 185.732055 67.976313 4.40 1.09 -11.04 3600.01 26 281.091 5.300 -80.787828
2014-03-23 18:53:29 20140323_0007.fits(obstype=survey 185.732055 67.976313 3.85 1.19 -14.23 3447.45 26 281.091 5.300 -80.787828
2014-03-23 18:53:33 20140323_0008.fits(obstype=survey 185.732055 67.976313 3.65 1.16 44.49 3332.04 28 281.091 5.300 -80.787828
2014-03-23 18:53:38 20140323_0009.fits(obstype=survey 185.732055 67.976313 4.02 1.11 27.87 3209.72 31 281.091 5.300 -80.787828
2014-03-23 18:53:42 20140323_0010.fits(obstype=survey 185.732055 67.976313 3.81 1.16 27.38 3159.53 29 281.091 5.300 -80.787828
2014-03-23 18:53:47 20140323_0011.fits(obstype=survey 185.732055 67.976313 3.69 1.07 28.66 2988.52 27 281.091 5.300 -80.787828
2014-03-23 18:53:51 20140323_0012.fits(obstype=survey 185.732055 67.976313 3.84 1.07 25.76 2929.85 30 281.091 5.300 -80.787828
2014-03-23 18:53:56 20140323_0013.fits(obstype=survey 185.732055 67.976313 4.42 1.03 -33.06 2733.09 31 281.091 5.300 -80.787828
2014-03-23 18:54:00 20140323_0014.fits(obstype=survey 185.732055 67.976313 5.27 1.03 -22.74 2635.65 32 281.091 5.300 -80.787828
2014-03-23 18:54:04 20140323_0015.fits(obstype=survey 185.732055 67.976313 3.99 1.06 -83.06 2521.2 29 281.091 5.300 -80.787828
2014-03-23 18:54:09 20140323_0016.fits(obstype=survey 185.732055 67.976313 3.59 1.04 56.68 2523.9 29 281.091 5.300 -80.787828
2014-03-23 18:54:13 20140323_0017.fits(obstype=survey 185.732055 67.976313 3.55 1.05 48.89 2433.42 30 281.091 5.300 -80.787828
2014-03-23 18:54:17 20140323_0018.fits(obstype=survey 185.732055 67.976313 4.80 1.07 21.15 2398.53 32 281.091 5.300 -80.787828
2014-03-23 18:54:22 20140323_0019.fits(obstype=survey 185.732055 67.976313 3.60 1.06 26.33 2326.18 29 281.091 5.300 -80.787828
2014-03-23 18:54:26 20140323_0020.fits(obstype=survey 185.732055 67.976313 3.43 1.06 0.09 2247.46 31 281.091 5.300 -80.787828
2014-03-23 18:54:31 20140323_0021.fits(obstype=survey 185.732055 67.976313 3.09 1.09 -83.66 2166.54 32 281.091 5.300 -80.787828
2014-03-23 18:54:35 20140323_0022.fits(obstype=survey 185.732055 67.976313 3.34 1.05 26.49 2000 28 281.091 5.300 -80.787828
2014-03-23 18:54:39 20140323_0023.fits(obstype=survey 185.732055 67.976313 3.20 1.10 15.69 2049.88 29 281.091 5.300 -80.787828
2014-03-23 18:54:44 20140323_0024.fits(obstype=survey 185.732055 67.976313 3.18 1.12 6.14 1963.44 30 281.091 5.300 -80.787828
